id,full_name,first_name_x,last_name_x,is_active,person_id,first_name_y,last_name_y,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_city,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,edad,años_jugando,undrafted
77399,Darrell Lockhart,Darrell,Lockhart,0,77399.0,Darrell,Lockhart,Auburn,USA,6-9,245.0,1.0,32,Forward,Inactive,1610612759.0,Spurs,San Antonio,1983.0,1983.0,N,Y,Y,1983,2,35,N,65.0,0.0,0
1100,Ian Lockhart,Ian,Lockhart,0,1100.0,Ian,Lockhart,Tennessee,USA,6-8,240.0,1.0,51,Forward,Inactive,1610612756.0,Suns,Phoenix,1990.0,1990.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,58.0,0.0,0
77401,Kevin Loder,Kevin,Loder,0,77401.0,Kevin,Loder,Alabama State,USA,6-6,205.0,3.0,9,Forward,Inactive,1610612758.0,Kings,Kansas City,1981.0,1983.0,N,Y,Y,1981,1,17,N,66.0,2.0,0
77402,Don Lofgran,Don,Lofgran,0,77402.0,Don,Lofgran,San Francisco,USA,6-5,200.0,4.0,8,Forward,Inactive,1610610030.0,Olympians,Indianapolis,1950.0,1953.0,N,Y,Y,1950,1,11,N,96.0,3.0,0
1629155,Zach Lofton,Zach,Lofton,0,1629155.0,Zach,Lofton,New Mexico State,USA,6-4,180.0,1.0,,Guard,Inactive,0.0,,,2018.0,2018.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,32.0,0.0,0
1631254,Kenneth Lofton Jr.,Kenneth,Lofton Jr.,1,1631254.0,Kenneth,Lofton Jr.,Louisiana Tech,USA,6-6,275.0,1.0,6,Forward,Active,1610612763.0,Grizzlies,Memphis,2022.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,23.0,1.0,0
77403,Johnny Logan,Johnny,Logan,0,77403.0,Johnny,Logan,Indiana,USA,6-2,175.0,5.0,17,Guard,Inactive,1610610034.0,Bombers,St. Louis,1946.0,1950.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,104.0,4.0,0
38,Brad Lohaus,Brad,Lohaus,0,38.0,Brad,Lohaus,Iowa,USA,6-11,230.0,10.0,54,Forward-Center,Inactive,1610612749.0,Bucks,Milwaukee,1987.0,1997.0,N,Y,Y,1987,2,45,N,61.0,10.0,0
1609,Art Long,Art,Long,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,Grant Long,Grant,Long,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
1381,John Long,John,Long,0,1381.0,John,Long,Detroit,USA,6-5,200.0,14.0,25,Guard,Inactive,1610612765.0,Pistons,Detroit,1978.0,1996.0,N,Y,Y,1978,2,29,N,69.0,18.0,0
77406,Paul Long,Paul,Long,0,77406.0,Paul,Long,Wake Forest,USA,6-2,180.0,3.0,5,Guard,Inactive,1610612765.0,Pistons,Detroit,1967.0,1970.0,N,Y,Y,1967,5,45,N,81.0,3.0,0
1627848,Shawn Long,Shawn,Long,0,1627848.0,Shawn,Long,Louisiana-Lafayette,USA,6-9,255.0,2.0,36,Forward,Inactive,1610612755.0,76ers,Philadelphia,2016.0,2016.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,32.0,0.0,0
26,Luc Longley,Luc,Longley,0,26.0,Luc,Longley,New Mexico,USA,,,10.0,,Center,Inactive,0.0,,,1991.0,2000.0,N,Y,Y,1991,1,7,N,56.0,9.0,0
1626172,Kevon Looney,Kevon,Looney,1,1626172.0,Kevon,Looney,UCLA,USA,6-9,222.0,8.0,5,Forward,Active,1610612744.0,Warriors,Golden State,2015.0,2023.0,Y,Y,Y,2015,1,30,N,29.0,8.0,0
201572,Brook Lopez,Brook,Lopez,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
1732,Felipe Lopez,Felipe,Lopez,0,1732.0,Felipe,Lopez,St. John's (NY),Dominican Republic,6-5,195.0,5.0,13,Guard-Forward,Inactive,1610612763.0,Grizzlies,Vancouver,1998.0,2002.0,N,Y,Y,1998,1,24,N,50.0,4.0,0
2221,Raul Lopez,Raul,Lopez,0,2221.0,Raul,Lopez,Real Madrid,Spain,6-0,175.0,3.0,,Guard,Inactive,0.0,,,2002.0,2004.0,N,Y,Y,2001,1,24,N,45.0,2.0,0
201577,Robin Lopez,Robin,Lopez,1,201577.0,Robin,Lopez,Stanford,USA,7-0,281.0,15.0,33,Center,Active,1610612739.0,Cavaliers,Cleveland,2008.0,2023.0,N,Y,Y,2008,1,15,N,37.0,15.0,0
943,Ryan Lorthridge,Ryan,Lorthridge,0,943.0,Ryan,Lorthridge,Jackson State,USA,6-4,190.0,1.0,9-33,Guard,Inactive,1610612744.0,Warriors,Golden State,1994.0,1994.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,53.0,0.0,0
77409,Jim Loscutoff,Jim,Loscutoff,0,77409.0,Jim,Loscutoff,Oregon,USA,6-5,220.0,9.0,18,Forward,Inactive,1610612738.0,Celtics,Boston,1955.0,1963.0,N,Y,Y,1955,1,3,N,95.0,8.0,0
