person_id,full_name,country,position,height,weight,edad,años_jugando,undrafted,team_id
76125.0,Johnny Baum,USA,Forward,6-5,200.0,79.0,1.0,0,1610612741.0
76126.0,Frankie Baumholtz,USA,Guard,5-10,170.0,107.0,0.0,0,1610610026.0
2437.0,Lonny Baxter,USA,Forward,6-8,260.0,46.0,3.0,0,1610612741.0
76127.0,Elgin Baylor,USA,Forward,6-5,225.0,91.0,13.0,0,1610612747.0
203382.0,Aron Baynes,Australia,Center-Forward,6-10,260.0,38.0,8.0,0,1610612765.0
76128.0,Sergei Bazarevich,Russia,Guard,6-2,168.0,60.0,0.0,0,1610612737.0
203145.0,Kent Bazemore,USA,Guard-Forward,6-4,195.0,36.0,9.0,0,1610612747.0
1629647.0,Darius Bazley,USA,Forward,6-9,216.0,25.0,4.0,0,1610612756.0
76129.0,Ed Beach,USA,Forward,6-3,200.0,96.0,0.0,0,1610612737.0
203078.0,Bradley Beal,USA,Guard,6-4,207.0,32.0,11.0,0,1610612756.0
76130.0,Butch Beard,USA,Guard,6-3,185.0,78.0,9.0,0,1610612752.0
76131.0,Ralph Beard,USA,Guard,5-10,175.0,97.0,1.0,0,1610610030.0
2602.0,Jerome Beasley,USA,Forward,6-9,237.0,45.0,0.0,0,1610612748.0
1627736.0,Malik Beasley,USA,Guard,6-4,187.0,28.0,7.0,0,1610612747.0
76133.0,Zelmo Beaty,USA,Center,6-9,225.0,86.0,12.0,0,1610612737.0
201958.0,Rodrigue Beaubois,France,Guard,6-2,185.0,37.0,3.0,0,1610612742.0
1630699.0,MarJon Beauchamp,USA,Forward,6-7,199.0,25.0,2.0,0,1610612749.0
76134.0,Byron Beck,USA,Center,6-9,225.0,80.0,0.0,0,1610612743.0
1133.0,Corey Beck,USA,Guard,6-3,200.0,54.0,3.0,0,1610612766.0
76136.0,Ernie Beck,USA,Guard,6-4,190.0,93.0,7.0,0,1610612744.0
76137.0,Moe Becker,USA,Guard,6-1,185.0,108.0,0.0,0,1610610028.0
76140.0,Ron Behagen,USA,Forward,6-9,185.0,74.0,6.0,0,1610612758.0
76141.0,Elmer Behnke,USA,Center,6-7,210.0,96.0,0.0,0,1610612737.0
76142.0,Dennis Bell,USA,Forward,6-5,185.0,74.0,2.0,0,1610612752.0
1628395.0,Jordan Bell,USA,Forward,6-7,216.0,30.0,4.0,0,0.0
1952.0,Raja Bell,US Virgin Islands,Guard,6-5,210.0,49.0,11.0,0,1610612756.0
2559.0,Troy Bell,USA,Guard,6-1,180.0,44.0,0.0,0,1610612763.0
76143.0,William Bell,USA,Guard,6-0,180.0,93.0,1.0,0,1610612752.0
76144.0,Walt Bellamy,USA,Center,6-10,225.0,86.0,13.0,0,1610612737.0
1627761.0,DeAndre' Bembry,USA,Guard-Forward,6-5,210.0,31.0,5.0,0,0.0
76145.0,Irv Bemoras,USA,Forward,6-3,185.0,94.0,3.0,0,1610612737.0
76146.0,Leon Benbow,USA,Guard,6-4,185.0,75.0,1.0,0,1610612741.0
1627733.0,Dragan Bender,Croatia,Forward,7-0,249.0,27.0,3.0,0,0.0
1886.0,Jonathan Bender,USA,Forward,7-0,230.0,44.0,10.0,0,1610612754.0
203968.0,Jerrelle Benimon,USA,Desconocido,Desconocido,210.0,34.0,0.0,0,0.0
104.0,Benoit Benjamin,USA,Center,7-0,250.0,60.0,14.0,0,0.0
1736.0,Corey Benjamin,USA,Guard,6-6,200.0,47.0,4.0,0,0.0
203461.0,Anthony Bennett,Canada,Forward,6-8,235.0,32.0,3.0,0,0.0
1120.0,Elmer Bennett,USA,Guard,6-0,170.0,55.0,2.0,0,0.0
712.0,Mario Bennett,USA,Center-Forward,6-9,235.0,52.0,7.0,0,1610612747.0
76148.0,Tony Bennett,USA,Guard,6-0,175.0,56.0,2.0,0,1610612766.0
76152.0,Winston Bennett,USA,Guard,6-7,210.0,60.0,2.0,0,1610612739.0
128.0,David Benoit,USA,Forward,6-8,220.0,57.0,9.0,0,1610612762.0
202728.0,Keith Benson,USA,Forward-Center,6-11,230.0,37.0,0.0,0,0.0
76154.0,Kent Benson,USA,Center,6-11,235.0,70.0,10.0,0,1610612765.0
1627791.0,Ben Bentil,Ghana,Forward,6-9,235.0,30.0,0.0,0,0.0
76155.0,Gene Berce,USA,Guard,5-11,175.0,98.0,0.0,0,1610612737.0
76156.0,Gary Bergen,USA,Center,6-8,210.0,93.0,0.0,0,1610612752.0
1631262.0,Jules Bernard,USA,Desconocido,Desconocido,210.0,25.0,3.0,0,0.0
76157.0,Ricky Berry,USA,Forward,6-8,205.0,61.0,0.0,0,1610612758.0
76158.0,Walter Berry,USA,Forward,6-8,215.0,61.0,2.0,0,1610612759.0
1629541.0,Dairis Bertans,Latvia,Guard,6-4,200.0,36.0,0.0,0,1610612740.0
202722.0,Davis Bertans,Latvia,Forward,6-10,225.0,32.0,7.0,0,1610612742.0
696.0,Travis Best,USA,Guard,5-11,182.0,53.0,9.0,0,1610612754.0
201976.0,Patrick Beverley,USA,Guard,6-2,180.0,37.0,11.0,0,1610612741.0
1630180.0,Saddiq Bey,USA,Forward,6-7,215.0,26.0,3.0,0,1610612737.0
1630189.0,Tyler Bey,USA,Forward,6-7,215.0,27.0,0.0,0,1610612742.0
204021.0,Sim Bhullar,Canada,Center,7-5,360.0,32.0,0.0,0,0.0
76162.0,Henry Bibby,USA,Guard,6-1,185.0,75.0,8.0,0,1610612755.0
1710.0,Mike Bibby,USA,Guard,6-2,195.0,47.0,13.0,0,1610612758.0
76163.0,Ed Biedenbach,USA,Guard,6-1,175.0,80.0,0.0,0,1610612756.0
2740.0,Andris Biedrins,Latvia,Center,7-0,250.0,39.0,9.0,0,0.0
76164.0,Don Bielke,USA,Center,6-7,240.0,92.0,0.0,0,1610612765.0
76165.0,Bob Bigelow,USA,Forward,6-7,215.0,71.0,3.0,0,1610612758.0
1497.0,Chauncey Billups,USA,Guard,6-3,210.0,49.0,16.0,0,1610612765.0
1631234.0,Marcus Bingham Jr.,USA,Desconocido,Desconocido,210.0,25.0,3.0,0,0.0
76167.0,Joe Binion,USA,Forward,6-8,235.0,64.0,0.0,0,1610612757.0
203920.0,Khem Birch,Canada,Center,6-8,233.0,33.0,6.0,0,1610612759.0
1628444.0,Jabari Bird,USA,Guard,6-6,198.0,31.0,0.0,0,1610612738.0
76168.0,Jerry Bird,USA,Forward,6-6,210.0,90.0,0.0,0,1610612752.0
1449.0,Larry Bird,USA,Forward,6-9,220.0,68.0,12.0,0,1610612738.0
76170.0,Otis Birdsong,USA,Guard,6-3,190.0,69.0,11.0,0,1610612751.0
76171.0,Gale Bishop,USA,Forward,6-3,195.0,103.0,0.0,0,1610612744.0
1629048.0,Goga Bitadze,Georgia,Center-Forward,6-11,250.0,26.0,4.0,0,1610612753.0
202687.0,Bismack Biyombo,DRC,Center,6-8,255.0,33.0,12.0,0,1610612756.0
