game_id,league_id,lead_changes,times_tied,team_id,team_abbreviation,team_city,pts_paint,pts_2nd_chance,pts_fb,largest_lead,team_turnovers,total_turnovers,team_rebounds,pts_off_to,venue
29800075,0,2,4,1610612751,NJN,New Jersey,32,13,9,8,1.0,11.0,9.0,0.0,home
29800076,0,1,2,1610612743,DEN,Denver,30,16,19,19,0.0,11.0,15.0,0.0,home
29800078,0,10,6,1610612744,GSW,Golden State,42,22,14,20,0.0,17.0,10.0,0.0,home
29800079,0,0,2,1610612742,DAL,Dallas,38,13,7,0,0.0,19.0,10.0,0.0,home
29800074,0,3,6,1610612765,DET,Detroit,26,9,4,4,0.0,15.0,9.0,0.0,home
29800077,0,7,10,1610612758,SAC,Sacramento,44,7,14,7,1.0,14.0,5.0,0.0,home
29800088,0,0,2,1610612766,CHH,Charlotte,32,15,13,0,2.0,16.0,7.0,0.0,home
29800087,0,4,11,1610612746,LAC,Los Angeles,58,22,12,3,0.0,22.0,11.0,0.0,home
29800089,0,10,5,1610612738,BOS,Boston,50,13,23,3,0.0,15.0,5.0,0.0,home
29800080,0,4,7,1610612752,NYK,New York,34,8,10,15,0.0,12.0,6.0,0.0,home
29800085,0,6,11,1610612741,CHI,Chicago,32,9,8,2,1.0,15.0,7.0,,home
29800081,0,12,7,1610612751,NJN,New Jersey,30,10,20,22,1.0,18.0,9.0,0.0,home
29800090,0,0,0,1610612760,SEA,Seattle,46,10,9,20,2.0,23.0,5.0,0.0,home
29800086,0,6,10,1610612756,PHX,Phoenix,34,16,17,2,0.0,14.0,6.0,0.0,home
29800094,0,14,9,1610612745,HOU,Houston,36,6,17,8,1.0,20.0,14.0,0.0,home
29800091,0,9,10,1610612753,ORL,Orlando,34,20,11,14,0.0,23.0,12.0,0.0,home
